id, position_x, position_y, position_z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
0x694c,2039,5121,5558,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100304250,0,-34,966,129,708,-233,-2,2,1,402,2,24,15990,-215,29,-3565,-2,-8,-14,2,-25,980,33
0x694c,2028,5061,5537,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100305500,-1,-32,965,129,702,-240,2,0,-1,402,2,24,15990,-215,29,-3565,-3,-7,-11,2,-25,980,33
0x694c,2086,5078,5484,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2060,5218,656,100308000,2,-31,962,123,708,-246,0,-1,-1,402,2,24,15990,-215,29,-3565,-3,-4,-22,2,-25,980,33
0x694c,2103,5261,-237,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2060,5218,656,100307250,-1,-31,956,129,720,-227,-1,-3,-1,402,2,24,15990,-215,29,-3565,-3,-6,-20,2,-25,980,32
0x694c,2004,5113,5499,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1962,5164,656,100310000,0,-36,966,116,708,-246,0,-3,0,402,2,24,15990,-215,29,-3565,-3,-6,-19,2,-25,980,33
0x694c,1591,4722,-145,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1962,5164,656,100311500,0,-35,957,129,715,-240,1,2,1,402,2,24,15990,-215,29,-3565,-3,-5,-13,2,-25,980,33
0x694c,1926,4929,5556,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2010,5130,680,100311750,-1,-32,968,129,720,-233,-2,4,0,402,2,24,15990,-215,29,-3565,-3,-6,-11,2,-25,980,33
0x694c,2077,5148,5426,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2010,5130,680,100310250,0,-30,968,129,708,-240,0,1,-1,402,2,24,15990,-215,29,-3565,-2,-5,-11,2,-25,980,33
0x694c,1962,4640,0,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2010,5130,680,100308750,0,-31,964,147,702,-240,0,3,2,402,2,24,15990,-215,29,-3565,-2,-6,-15,2,-25,980,33
0x694c,1993,4866,-84,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2010,5130,680,100311000,536,-109,964,147,728,-222,-9,59,-314,373,-26,43,16039,-332,313,-3314,565,-63,-15,-28,-46,979,33
0x694c,2143,5202,5463,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1180,4886,1135,100316750,-140,-193,978,-1422,176,-678,8,-210,-1584,825,-72,69,14728,-275,849,-7123,-63,-119,3,-77,-73,974,33
0x694c,886,3833,410,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1048,4993,818,100318750,-511,-553,782,-1865,422,-580,-3188,627,9,597,-262,702,14275,-4806,4278,-4823,-234,98,104,-276,-652,678,33
0x694c,2104,5128,5473,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1470,5520,4205,100316000,-658,-871,152,-1577,464,-30,-1050,-1721,836,5694,-460,1285,12399,-9530,4868,445,-189,-14,-17,-476,-844,143,33
0x694c,1905,5060,5555,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1289,5728,941,100313000,-531,-809,30,-1380,385,73,-75,-57,7,5062,-509,1290,11474,-10581,1943,4589,-5,1,-98,-517,-821,135,33
0x694c,1820,4850,5591,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1166,5895,785,100316250,-477,-844,138,-1416,344,73,28,29,-46,5130,-493,1311,11544,-10653,2157,4127,23,-7,28,-503,-833,117,33
0x694c,2010,5319,5542,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1198,6242,4305,100313750,-547,-878,396,-1313,259,28,-555,-1661,349,4715,-478,1201,10789,-10207,-339,6910,-60,-36,163,-488,-821,218,33
0x694c,1715,4812,-515,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
